index,id,processed_tweets,scale
,5.08E+17,wake up and smell the coffee from now on with dutch colony coffee at frankel ave they are next to http instagram compsjqk8apuca,
,5.06E+17,cheebai someone farted and the train smells like fart now fuck i cant get the smell out if my nose and i can taste it ,
sweat,5.06E+17,"whats in a name that which we call a roseby any other name would smell as sweet  romeo and juliet http instagram compsxr9xitfcz",
beautiful,5.05E+17,my favourite thing about orchard road in singapore is the smell of beautiful ,road
japan,5.03E+17,smell of japan  hilton singapore in singapore https www swarmapp comsylisticcheckin53f8399f11d26f39681ca0ca s xsunk1exsj0krtvu43hzc1uokreref tw,point
fierce,5.03E+17,you can smell the fierce from across the street  abercrombie  fitch singapore http instagram compr9hmmnxq1,
awesome,5.02E+17,timberland has this awesome smell i want my room to smell the same ,point
china  ,5.01E+17,china ppl their bo all smell the same one ah suffocated in the train ,n
rain,4.97E+17,life is full of beauty notice it smell the rain and feel the wind   sentosa beach singapore http instagram comprw347rr00x,point
,4.96E+17,my twins are sleeping peacefully nex to me how i cherish this moment just like when they were babies  dat masambucuk smell hehe ,
coffee,4.96E+17,every time i come home after spending the day in starbucks everyone goes like dude you smell like coffee,point
rich,4.93E+17,i am in awe of marina bay sands grandeur the whole place smells oh so good too hmm the smell of rich ,point
,4.92E+17,"can you smell that bookout because i sure fuckin do   12 hours to keluar baris http instagram compq1yi7qrlrk",point
,4.92E+17,  little india singapore http instagram compq1croghq4x,
perfume,4.91E+17,clinique perfume  intro by my cousin  the smell is nice  changi airport terminal 2 http instagram compqtkprfkt1t,point
,4.89E+17, nyehehe i smell sarcasm yes im v kind thank you for reminding me ,
,4.86E+17, xoxo94 you iz such a bitch ennaku yaarum illeh i smell my own ,
,4.86E+17, xoxo94 raabak remind me to let u smell my hair when u see me next turn on i swear ,
,4.86E+17, babe you can smell me,
bbq,4.86E+17,i smell like bbq now  chang korean bbq http instagram compqg3x3xppvm,point
singapore ,4.85E+17,you know youre in singapore when you smell these  amber road http instagram compqcrovijhg0,road
bangala,4.85E+17,reach little india whole train bangala smell ,PA
napalm,4.85E+17, i love the smell of napalm in the morning  mulan mulan only had swords and horses no grenades or whatever ,
,4.84E+17,can all the boys stop wearing af  mont blanc smell its getting too typical sia lol,
popcorn shop,4.83E+17,my bag of craving  couldnt resist the smell whenever i walked past a garrett  garrett popcorn http instagram compp2yzbtle4,point
,4.83E+17,  bukan rajin terpaksa hahaha kalau tak cuci ill smell like rotten fish when i come to work,
chineeese,4.82E+17,wah this kelvin  marian bring me to some xinwang hong kong cafe to eat dinner all the chineeese smell ,point
mrt,4.82E+17,one north mrt is the best smelling mrt station in singapore every moment there will be freshly oven baked bread smell throughout the stn ,mrt
China guy,4.81E+17,thea china guy sitting beside me smell so ,
hot sunny morning,4.80E+17,loving the smell of the on a hot sunny morning   queenstown stadium http instagram comppfo6esawkz,point
weekends,4.80E+17,here for dinner i can smell weekends coming  abc brickworks market  food centre http 4sq com1vxkgaw,point
,4.79E+17,the smell last warning  riders cafe http instagram comppxp84rna1n,point
ocean,4.78E+17,ocean smell  sentosa beach w 4 others http 4sq com1lvhuld,point
freedom,4.77E+17,i smell freedom   ngee ann polytechnic http instagram comppkytb6qoit,
,4.76E+17, nino2708 my lord you smell worst then ,
love,4.75E+17,"smell of love   starbucks singapore http instagram compo7youryf1r",
tea,4.74E+17,coop tea from switzerland jungfrau smell hmm  jurong west st 52 blk 520 http instagram compoxq9ksxtc ,
jasmine,4.73E+17,what a run around the lake jasmine smell so strong thanks mezztro  west coast park http instagram compovknegcvbp,
chips,4.70E+17,chips  french fries will a potato by any other name smell as sweet  wendys buangkok http instagram compoxvo5oj7za,
,4.70E+17,zero sense of smell  taste  yomenya goemon http 4sq com1nxyggi,
slot,4.69E+17, let me smell you slut hahaha im  pasir panjang pls troye,
agrable,4.67E+17,the smell in lim chu kang is trs agrable,
,4.66E+17,yup im here today and ready to smell like bbq pork  moojaa mookata thai bbq steamboat http 4sq com1som4qn,
rubbish,4.65E+17,the smell of rubbish  tuas south incineration plant http 4sq com1g1uwln,
feet,4.64E+17,look like  is in love with my slipper or maybe the smell of my feet  lol  blk 140 bishan st 12 http instagram compnpcybhcksh,
money,4.62E+17,smell the money  the sail at marina bay http instagram compndwhfcmzlr,
lavender,4.61E+17,yayyy bought  super love the smell of lavender when i opened the box im really http instagram compnai2dgrh1z,
tee,4.61E+17,yaaay babes tee smell gotten stronger ,
morning glass,4.61E+17,smell of the morning glass   speakers corner  hong lim park http instagram compnwkvdvb55j,
cotton candy,4.60E+17,the smell of cotton candy is my favorite smell in the world,
,4.59E+17,perspiring but still smell fresh  jurong bird park http instagram compngasxhmffh,
coffee,4.58E+17,smell of coffee gives you a clear head  starbucks  bugis junction http instagram compnei3zzbldj,
fishy,4.58E+17,i smell something fishy tonight xd  marina bay sands hotel http instagram compnd1kghs0o,
shit,4.55E+17,same chicken shit smell again   4th bn singapore infantry regiment 4 sir http 4sq com1lyztnq,
,4.55E+17,i smell holiday in the air bye uni life for 2 weeks xx  changi international airport sin http instagram compmtiqplzd1,
,4.53E+17, buay kun leh  dont have you smell here ,
,4.52E+17, wolf coyote wolves smell funny o,
,4.52E+17,the smell of  velocity http instagram compmuboj8skhu,
,4.50E+17,omg that smell  mandai crematorium  columbarium w 18 others http 4sq com1jlwyox,
